title,source,url,published_at,author,scraped_title,scraped_date,summary
Bye-bye bots: Altera's game-playing AI agents get backing from Eric Schmidt | TechCrunch,TechCrunch,https://techcrunch.com/2024/05/08/bye-bye-bots-alteras-game-playing-ai-agents-get-backing-from-eric-schmidt/,2024-05-08T15:14:57Z,Lauren Forristal,Bye-bye bots: Altera’s game-playing AI agents get backing from Eric Schmidt | TechCrunch,2024-05-08T15:14:00+00:00,Latest AI Amazon Apps Biotech & Health
"$450M for Noname, two billion-dollar rounds, and good news for crypto startups | TechCrunch",TechCrunch,https://techcrunch.com/2024/05/08/450m-for-noname-two-billion-dollar-rounds-and-good-news-for-crypto-startups/,2024-05-08T15:01:51Z,,"$450M for Noname, two billion-dollar rounds, and good news for crypto startups | TechCrunch",,Latest AI Amazon Apps Biotech & Health
Uber promises member exclusives as Uber One passes $1B run-rate | TechCrunch,TechCrunch,https://techcrunch.com/2024/05/08/uber-promises-member-exclusives-as-uber-one-passes-1b-run-rate/,2024-05-08T14:41:36Z,Rebecca Bellan,Uber promises member exclusives as Uber One passes $1B run-rate | TechCrunch,2024-05-08T14:41:00+00:00,Latest AI Amazon Apps Biotech & Health
"Checkfirst raises $1.5M pre-seed, applying AI to remote inspections and audits | TechCrunch",TechCrunch,https://techcrunch.com/2024/05/08/checkfirst-raises-1-5m-pre-seed-applying-ai-to-remote-inspections-and-audits/,2024-05-08T13:02:12Z,Mike Butcher,Checkfirst raises $1.5M pre-seed to apply AI to remote inspections and audits | TechCrunch,2024-05-08T13:02:00+00:00,Latest AI Amazon Apps Biotech & Health
UK challenger bank Monzo nabs another $190M as US expansion beckons | TechCrunch,TechCrunch,https://techcrunch.com/2024/05/08/uk-challenger-bank-monzo-nabs-another-190m-at-5-2b-valuation/,2024-05-08T12:34:05Z,Paul Sawers,UK challenger bank Monzo nabs another $190M as US expansion beckons | TechCrunch,2024-05-08T12:30:00+00:00,Latest AI Amazon Apps Biotech & Health
